createdAt,id,lang,text
Thu Mar 29 11:48:32 KST 2018,979188529170284544,en,RT @RNixonZombie: Trump must think the Sunshine will drive away his Stormy “weather”.  Not going to happen 🍊 🤡 #WednesdayWisdom https://t.c…
Thu Mar 29 11:48:31 KST 2018,979188524594348033,en,current weather in Saratov: clear sky -5°C 85% humidity wind 2kmh pressure 1015mb
Thu Mar 29 11:48:30 KST 2018,979188520211202050,en,@Ol_tucson Yeah weather is beautiful. Good time to be alive in Tucson.
Thu Mar 29 11:48:29 KST 2018,979188514976772096,en,Severe Thunderstorm Warning March 28 at 9:41PM until March 28 at 10:30PM by NWS https://t.co/nz7ug82tyQ https://t.co/7DainuMLq6
Thu Mar 29 11:48:25 KST 2018,979188500951126016,en,RT @Pak_Weather: #BREAKING_NEWS #KARACHI All of a Sudden weather has become extremely muggy and misty in Karachi with chemical odour in the…
Thu Mar 29 11:48:24 KST 2018,979188497104953344,en,RT @wunderground: TONIGHT on #WUTV. We're anticipating a dangerous night of severe weather & potentially life-threatening flash flooding. P…
Thu Mar 29 11:48:23 KST 2018,979188490440200192,en,Nature communication. 'Weather phenomena such as El Niño affect up to two-thirds of the world's harvests'. Want to… https://t.co/Pcow1xoQeQ
Thu Mar 29 11:48:23 KST 2018,979188490415067136,en,@Anacv78 @JaclynGlenn If it was a choice then why would so many people choose it if it will just get them more hat… https://t.co/RubmWUalKy
Thu Mar 29 11:48:22 KST 2018,979188488959479808,en,current weather in Ahvaz: scattered clouds 21°C 37% humidity wind 1kmh pressure 1009mb
Thu Mar 29 11:48:21 KST 2018,979188482479403008,en,RT @elier_soto06: Colorado and it’s bipolar weather
Thu Mar 29 11:48:20 KST 2018,979188477848829952,en,We are back!  It was beautiful for 3 days.  Loved all the snow and the cold weather.  It was 18 this morning with a… https://t.co/2UvcJfFkig
Thu Mar 29 11:48:19 KST 2018,979188473805471744,en,RT @NWSBayArea: Unseasonably warm weather will continue tomorrow with afternoon highs in the 70s along the coast and low to mid 80s inland.…
Thu Mar 29 11:48:18 KST 2018,979188471783927809,en,Working Cat Placement Needed!  This stunning girl is named Coco! Coco is around 7 months old and was taken in by a… https://t.co/LocVq7tou8
Thu Mar 29 11:48:18 KST 2018,979188471305682944,en,RT @janeryboe: This weather got me feelin like heading to the pool🤩👙
Thu Mar 29 11:48:17 KST 2018,979188467321200641,en,@BrennaSimonSays Good for you enjoying that the weather finally broke with taking good care of yourself. Good choices looking *heathy*!
Thu Mar 29 11:48:17 KST 2018,979188467316948992,en,RT @cora_higgison: I’m sooo ready for warmer weather so I can wear my sun dresses😈
Thu Mar 29 11:48:16 KST 2018,979188461126078465,en,Palo Verde Nuclear Generating Station Arizona Weather Reports Hazardous Weather Outlook https://t.co/Wq7ubAze9Q
Thu Mar 29 11:48:15 KST 2018,979188456323624960,en,RT @brookeday05: it’s starting to look like windows down blasting music weather!!
Thu Mar 29 11:48:14 KST 2018,979188454692216832,en,@lumiyuu Pretty relaxing actually I’ve been tired a lot these past few days. Glad I felt better today but the weather has been annoying
Thu Mar 29 11:48:14 KST 2018,979188454402670593,en,RT @RNixonZombie: Trump must think the Sunshine will drive away his Stormy “weather”.  Not going to happen 🍊 🤡 #WednesdayWisdom https://t.c…
Thu Mar 29 11:48:13 KST 2018,979188450719969280,en,current weather in Sendai: clear sky 20°C 18% humidity wind 7kmh pressure 1013mb
Thu Mar 29 11:48:13 KST 2018,979188448266506240,en,9:48 PM Wednesday March 28 2018 For Phelps and most of our surrounding counties. Issued by: National Weather Servi… https://t.co/sUNNlodo9x
Thu Mar 29 11:48:13 KST 2018,979188447658303489,en,RT @NatureisScary: Weather can be scary too https://t.co/PnU4jXLjJE
Thu Mar 29 11:48:12 KST 2018,979188446102044672,en,@PhilDragash Yeah this time of year is the best for weather but it can be very crowded and expensive.
