createdAt,id,lang,text
Thu Mar 29 11:36:02 KST 2018,979185385375875079,ko,오늘 날씨 좋다. 놀러 갈까? 여기 근처에 네가 좋아하는 꽃이 피었던데. 아 나랑 가는 건 싫어? 그럼 다른 사람이랑 가도 괜찮아! 그런데 다른 사람이 있어? 다 죽인 줄 알았는데.
Thu Mar 29 11:35:54 KST 2018,979185349225140224,ko,RT @WekiMeki: 핀다핀다 꽃이 핀드아아~~🌸🌸 요즘 날씨는 좋은데 미세먼지가 심하니까 마스크 꼭 챙기구용!!  네잎클로버 처럼 럭키한 하루되세여~~❤️😍❤️😍 https://t.co/W3doRs5Zjp
Thu Mar 29 11:35:51 KST 2018,979185339213299712,ko,아니 날씨 갑자기 왜케 더워졌죠 진짜 반팔 셔츠인데 더워죽겟네 올해 여름은 수육 되겠네
Thu Mar 29 11:35:44 KST 2018,979185307441545216,ko,날씨조으니까 바콜브 한잔때릴궤~~~
Thu Mar 29 11:35:44 KST 2018,979185306938236929,ko,날씨 개좋다 미세먼지만 빼면
Thu Mar 29 11:35:43 KST 2018,979185302626385921,ko,RT @nabom0326: 아니 진짜 너무웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠엘비 시우민에게 걸칠수 있는 최대한으로 걸쳐놨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이날씨에 패딩조끼까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Thu Mar 29 11:35:36 KST 2018,979185274331717632,ko,RT @TRCNG_official: [#TRCNG][#챔피언집합소] 추운 날씨에 마음을 따뜻하게 녹여줄 #Vlive TRCNG ON AIR 번외편 두 번째! 😍 잠시 후 6시에 만나요~ 🍯🚜😈🍗☕🐿💪✨🍡🐶  #TRCNG_ONAIR #지훈 #하영 #태…
Thu Mar 29 11:35:31 KST 2018,979185253108547585,ko,RT @WekiMeki: 핀다핀다 꽃이 핀드아아~~🌸🌸 요즘 날씨는 좋은데 미세먼지가 심하니까 마스크 꼭 챙기구용!!  네잎클로버 처럼 럭키한 하루되세여~~❤️😍❤️😍 https://t.co/W3doRs5Zjp
Thu Mar 29 11:35:30 KST 2018,979185249199390721,ko,RT @NCTsmtown: 오늘 날씨가 너무 좋아여 이런날에는 집보다 밖에서 NCT노래 들으면서 걸어요!! 오늘 사인회에서 만난 시즈니들도 너무 반가웠어요!!  Fullsun https://t.co/tq61Smmke5
Thu Mar 29 11:35:29 KST 2018,979185245361618945,ko,@sexid19 미세먼지전에 남자셋이서 치맥먹었는데 날씨 좋더라구요
Thu Mar 29 11:35:26 KST 2018,979185231541383169,ko,뭐야 날씨 넘.. 최고네... 터덜...
Thu Mar 29 11:35:25 KST 2018,979185227795869696,ko,RT @C__Hyeok__: 건강을...영업합니다... 하루 8잔 이상의 물을 마시세요 먼지가 많고 건조한 요즘같은 날씨엔 더 많은 물이 필요합니다 집에 들어가기 전에 겉옷을 두어번 털고 들어가세요 바로 눕지 말고 가볍게 스트레칭을 하고 나서 손발을…
Thu Mar 29 11:35:20 KST 2018,979185205452787712,ko,@DH0721_LOVE ㅠㅠㅠㅠㅠㅠㅠㅠㅠ만성비염러는 그거 달구 사는데도 환절기면 더 하는거같아요ㅠㅠㅠㅠㅠㅠㅠ 잇다가 또 병원가야짘ㅋㅋㅋㅠㅠㅠㅠㅠ날씨가 사람 죽이는거같아욬ㅋㅋㅋㅋ
Thu Mar 29 11:35:19 KST 2018,979185204471332865,ko,날씨 모르고 가을 잠바 입고 왔음 곧 쪄죽음
Thu Mar 29 11:35:16 KST 2018,979185188759519232,ko,오늘 날씨 너무 좋다~ 밖에서 광합성 좀 하고 들어갈까보다 잠시후 맛점하셔요들 나는 맛있는 아점 클리어😏
Thu Mar 29 11:35:14 KST 2018,979185183910903808,ko,RT @C__Hyeok__: 건강을...영업합니다... 하루 8잔 이상의 물을 마시세요 먼지가 많고 건조한 요즘같은 날씨엔 더 많은 물이 필요합니다 집에 들어가기 전에 겉옷을 두어번 털고 들어가세요 바로 눕지 말고 가볍게 스트레칭을 하고 나서 손발을…
Thu Mar 29 11:35:13 KST 2018,979185179523670017,ko,올해 처음으로 개미봤다 날씨가 따듯해지긴 했나보다
Thu Mar 29 11:35:13 KST 2018,979185178311499776,ko,날씨개좋네
Thu Mar 29 11:35:09 KST 2018,979185159277809665,ko,RT @NCTsmtown: 봄과 어울리는 터치!  127과 어울리는 시즈니! 일요일과 어울리는 날씨! 여러분 오늘두 해피해피^^ - 맠 https://t.co/Yty8TUFjM8
Thu Mar 29 11:34:55 KST 2018,979185102428151808,ko,RT @ssg0210: 러비들에게 늘 봄같은 주현이💕 날씨가 따뜻해진만큼 마음도 따뜻한 하루가 되었으면 좋겠어 즐겁고 행복한 하루 보내고 콘서트 잘 하구 와 늘 응원해!! #HappyIreneDay #레드벨벳 #아이린 #배주현 #아이린하세요 http…
Thu Mar 29 11:34:54 KST 2018,979185097332080640,ko,ㅇ ㅏ 날씨 개조은데 하늘이 황색이야 ㅅㅂ중국 멸망해
Thu Mar 29 11:34:48 KST 2018,979185074724728832,ko,하오 날씨 진짜 풀렸네
Thu Mar 29 11:34:48 KST 2018,979185071725862912,ko,RT @nabom0326: 아니 진짜 너무웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠엘비 시우민에게 걸칠수 있는 최대한으로 걸쳐놨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이날씨에 패딩조끼까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Thu Mar 29 11:34:45 KST 2018,979185060690587648,ko,으아아아 오늘 날씨는 왜그래
Thu Mar 29 11:34:36 KST 2018,979185022845403136,ko,역시 이날씨에 바나거는 최고야.....  진짜기분좋아져 ㅜㅜㅠㅜㅜ 얇게입고 선선힌바람에 바나거 들으면 기분 진짜진짜좋아 ㅠㅠㅠㅠㅜㅠㅜ 미세먼지만 엊ㅅ엇으면 더 좋앗을텐뎅 ㅜㅜ
Thu Mar 29 11:34:25 KST 2018,979184977844711424,ko,RT @offclASTRO: 재밌었던 예스터데이😛😛😛 #날씨 #조으다 #아로하 #모해요 https://t.co/R6gHgxKRXs
Thu Mar 29 11:34:25 KST 2018,979184977748271104,ko,RT @anonymous_ikm: 우중충한 날씨나 기분일수록 깨끗하게 청소하고 개운하게 씻는게 기분전환에 많은 도움이 될거야! https://t.co/pNB0CIbyE9
Thu Mar 29 11:34:10 KST 2018,979184913764245504,ko,RT @snuperofficial: [#kakaotalk]  ‘수요일엔 스누퍼 플러스친구’ 47탄! <#한강나들이> 더 많은 사진은 링크!  ▷ https://t.co/xcCun24sfH #스누퍼 #태웅 #우성 #세빈 #수현 #상호 #상일 #SNUP…
Thu Mar 29 11:34:09 KST 2018,979184909045518337,ko,RT @ssg0210: 러비들에게 늘 봄같은 주현이💕 날씨가 따뜻해진만큼 마음도 따뜻한 하루가 되었으면 좋겠어 즐겁고 행복한 하루 보내고 콘서트 잘 하구 와 늘 응원해!! #HappyIreneDay #레드벨벳 #아이린 #배주현 #아이린하세요 http…
Thu Mar 29 11:33:58 KST 2018,979184861746360321,ko,RT @ssg0210: 러비들에게 늘 봄같은 주현이💕 날씨가 따뜻해진만큼 마음도 따뜻한 하루가 되었으면 좋겠어 즐겁고 행복한 하루 보내고 콘서트 잘 하구 와 늘 응원해!! #HappyIreneDay #레드벨벳 #아이린 #배주현 #아이린하세요 http…
Thu Mar 29 11:33:36 KST 2018,979184770595762176,ko,RT @C__Hyeok__: 건강을...영업합니다... 하루 8잔 이상의 물을 마시세요 먼지가 많고 건조한 요즘같은 날씨엔 더 많은 물이 필요합니다 집에 들어가기 전에 겉옷을 두어번 털고 들어가세요 바로 눕지 말고 가볍게 스트레칭을 하고 나서 손발을…
Thu Mar 29 11:33:27 KST 2018,979184734420029440,ko,RT @BTS_twt: 날씨좋다 #디스패치화보 #🐯❤️ https://t.co/czx4u4nUN7
Thu Mar 29 11:33:17 KST 2018,979184690094624768,ko,RT @BTS_twt: 안녕하세요 오랜만이에요! 오늘 날씨가 참 좋네요! http://t.co/7MkTWgCdqe
Thu Mar 29 11:32:41 KST 2018,979184541117001729,ko,@100per_hyukjin 혁진아 날씨 좋고 더워요. 조금 외출라고 보세요 하늘을 올려다보고세요 꼭 웃고 있어요 https://t.co/DHRTKc0d9d
Thu Mar 29 11:32:29 KST 2018,979184490302947328,ko,RT @outdoorexplover: #야외노출 #야노 날씨가 좋아요 https://t.co/X4j70hny0L
Thu Mar 29 11:32:25 KST 2018,979184475341860864,ko,꾸물꾸물 뭐라도 올것같지만 아무것도 안올께 뻔한 날씨. 이 좋은 봄날 모뗀 먼지들.
Thu Mar 29 11:32:16 KST 2018,979184433990270976,ko,RT @ssg0210: 러비들에게 늘 봄같은 주현이💕 날씨가 따뜻해진만큼 마음도 따뜻한 하루가 되었으면 좋겠어 즐겁고 행복한 하루 보내고 콘서트 잘 하구 와 늘 응원해!! #HappyIreneDay #레드벨벳 #아이린 #배주현 #아이린하세요 http…
Thu Mar 29 11:32:14 KST 2018,979184427866583040,ko,날씨 진짜 좋다.. ㅜㅠ
Thu Mar 29 11:31:51 KST 2018,979184331628294144,ko,RT @S2_Feeling: 날씨마저도 오늘은 너와 만나라고 말해 주는 것 같아.  : 하태완 너에게
Thu Mar 29 11:31:47 KST 2018,979184315757031424,ko,RT @NUESTNEWS: [NU'PAPA] 삐용삐용🚨 패피들만 간다는 서울 패션 위크... 우리 쩨알망고도 함께 했다는 소식🎉👏 추운 날씨도 녹여줄 쩨아리와 망고의 최고 멋찐 셀카와 함께 러브들의 남은 하루도 파이팅 하세요💖🔥  #만화_찢고_나온_…
Thu Mar 29 11:31:47 KST 2018,979184312271609856,ko,RT @WekiMeki: 핀다핀다 꽃이 핀드아아~~🌸🌸 요즘 날씨는 좋은데 미세먼지가 심하니까 마스크 꼭 챙기구용!!  네잎클로버 처럼 럭키한 하루되세여~~❤️😍❤️😍 https://t.co/W3doRs5Zjp
Thu Mar 29 11:31:35 KST 2018,979184265752489984,ko,나도 모르고 지나갈 뻔 했는데. 365일 100일 50일 앞에서 창피하지만.. 그래도 기념으로! 날씨 때문에 몸이 조오금 안 좋아서 엉망인데 빨리 극뽀옥 해서 에헤이 하는 송혜원 될게요. 다들 고마워요.… https://t.co/zXEWNKRl01
Thu Mar 29 11:31:27 KST 2018,979184230017073153,ko,RT @C__Hyeok__: 건강을...영업합니다... 하루 8잔 이상의 물을 마시세요 먼지가 많고 건조한 요즘같은 날씨엔 더 많은 물이 필요합니다 집에 들어가기 전에 겉옷을 두어번 털고 들어가세요 바로 눕지 말고 가볍게 스트레칭을 하고 나서 손발을…
Thu Mar 29 11:31:20 KST 2018,979184201902641152,ko,날씨마저도 오늘은 너와 만나라고 말해 주는 것 같아.  : 하태완 너에게
Thu Mar 29 11:31:18 KST 2018,979184193342136320,ko,RT @C__Hyeok__: 건강을...영업합니다... 하루 8잔 이상의 물을 마시세요 먼지가 많고 건조한 요즘같은 날씨엔 더 많은 물이 필요합니다 집에 들어가기 전에 겉옷을 두어번 털고 들어가세요 바로 눕지 말고 가볍게 스트레칭을 하고 나서 손발을…
Thu Mar 29 11:31:17 KST 2018,979184189810491392,ko,날씨 넘 좋은데 미세먼지 나쁨임
Thu Mar 29 11:31:17 KST 2018,979184188485025792,ko,[날씨] 중서부·부산 미세먼지 ‘나쁨’…황사 가능성 (출처 : KBS 뉴스 | 네이버 뉴스) https://t.co/zkgXImdvw9
Thu Mar 29 11:30:56 KST 2018,979184100039782401,ko,아 맞다. 그냥 기억났어. 날씨. 평소라면 그냥 흐림이지만. 너가 행복하고 즐거워서 말이지. 내.... 날씨는 말이지. 오늘의 날씨는 '비'야.
Thu Mar 29 11:30:44 KST 2018,979184051004129281,ko,RT @C__Hyeok__: 건강을...영업합니다... 하루 8잔 이상의 물을 마시세요 먼지가 많고 건조한 요즘같은 날씨엔 더 많은 물이 필요합니다 집에 들어가기 전에 겉옷을 두어번 털고 들어가세요 바로 눕지 말고 가볍게 스트레칭을 하고 나서 손발을…
Thu Mar 29 11:30:31 KST 2018,979183994754355201,ko,RT @nabom0326: 아니 진짜 너무웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠엘비 시우민에게 걸칠수 있는 최대한으로 걸쳐놨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이날씨에 패딩조끼까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Thu Mar 29 11:30:25 KST 2018,979183971337752578,ko,RT @BTS_twt: 날씨좋다 #디스패치화보 #🐯❤️ https://t.co/czx4u4nUN7
Thu Mar 29 11:30:24 KST 2018,979183966866489344,ko,@JinHan_Ray_ 우왓 정말이네?! 레이쨩에게도 어울리네! 날씨도 춥지 않으니 괜찮네~!
Thu Mar 29 11:30:17 KST 2018,979183934830342144,ko,RT @mysticRFA_ZEN: 이걸 입고 나가기엔 아직 좀 더운날씨긴 하네; https://t.co/lR2rR2Dtdf
Thu Mar 29 11:30:15 KST 2018,979183928375263232,ko,RT @ssg0210: 러비들에게 늘 봄같은 주현이💕 날씨가 따뜻해진만큼 마음도 따뜻한 하루가 되었으면 좋겠어 즐겁고 행복한 하루 보내고 콘서트 잘 하구 와 늘 응원해!! #HappyIreneDay #레드벨벳 #아이린 #배주현 #아이린하세요 http…
Thu Mar 29 11:30:13 KST 2018,979183920779423744,ko,RT @BTS_twt: 날씨좋다 #디스패치화보 #🐯❤️ https://t.co/czx4u4nUN7
Thu Mar 29 11:30:13 KST 2018,979183919147855872,ko,날씨가 너무 좋아! 하려고 했는데 뿌옇네?ㅠ
Thu Mar 29 11:30:12 KST 2018,979183915238703104,ko,RT @nabom0326: 아니 진짜 너무웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엠엘비 시우민에게 걸칠수 있는 최대한으로 걸쳐놨어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이날씨에 패딩조끼까지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
Thu Mar 29 11:30:12 KST 2018,979183914714464257,ko,저번주 목요일에는 눈 오고 엄청 추웠는데 오늘은 꽃도 피고 날씨도 엄청 따뜻하네 ㅠ 한 달에 사계절 다 있어 
Thu Mar 29 11:30:02 KST 2018,979183874419785728,ko,@Baekho__721 이런날씨에 비염이면 ㅠㅠ 복근생길때까지 해야되는거 아닙니까ㅠㅠㅠㅠㅠ 흑.
