걷는길 명칭,코스명,지역1,난이도,상세거리(km),소요시간(시),소개
남산 녹색 둘레길,남산 녹색 둘레길,충남 청양군,쉬움,13.8,4,"357m의 남산을 중심으로 지천, 적누저수지, 광금.탄정리 벚꽃길을 따라 한바퀴를 도는 녹색 둘레길로 지역주민 건강증진을 위한 길이다. 구간별 테마를 구분해 4개 구간으로로 구분하고 있다. ①지천생태길(4.2㎞) : 지천의 사계절 봄나물,나비,참매,큰고니,원앙이등 철새들을 볼 수 있다. ②녹색길(4.9㎞) : 적누저수지를 따라 사색을 즐길수 있는 호젓한길 가끔 수달도 볼 수 있다. ③벚꽃길(1.8㎞) : 단국대 사과농장에서 장곡사까지 벚꽃이 장관이다. ④고향길(2.9㎞) : 시골의 고향길을 느낄수 있으며, 배움의 터전인 청양향교를 찾아갈 수 있다."
거북이 마을 솔바람길,01코스,충남 홍성군,보통,2.1,1,"마을의 모양이 거북이의 목처럼 생겨 구목(구을목)이라고 하고, 거북모양의 바위가 머리를 안쪽으로 향하고 있어 내현이라고 한다. 아홉가지의 보물을 덮고 있다는 보개산의 아늑함을 배경으로 500년 이상 수령의 느티나무, 철따라 피고지는 야생화, 군데 군데 위용을 드러내는 바위, 고풍스러운 전통가옥이 어우러져 한폭의 동양화 같은 천혜의 자연환경을 갖추고 있다.『동창이 밝았느냐 노고지리 우지진다-권농가』의 저자인 남구만 선생이 사신곳으로 농촌전통테마마을과 국내 최초 농어촌인성학교로 지정 되어 많은 이들의 발길을 옮기고 있다."
거북이 마을 솔바람길,02코스,충남 홍성군,보통,2.1,1,"마을의 모양이 거북이의 목처럼 생겨 구목(구을목)이라고 하고, 거북모양의 바위가 머리를 안쪽으로 향하고 있어 내현이라고 한다. 아홉가지의 보물을 덮고 있다는 보개산의 아늑함을 배경으로 500년 이상 수령의 느티나무, 철따라 피고지는 야생화, 군데 군데 위용을 드러내는 바위, 고풍스러운 전통가옥이 어우러져 한폭의 동양화 같은 천혜의 자연환경을 갖추고 있다.『동창이 밝았느냐 노고지리 우지진다-권농가』의 저자인 남구만 선생이 사신곳으로 농촌전통테마마을과 국내 최초 농어촌인성학교로 지정 되어 많은 이들의 발길을 옮기고 있다."
거북이 마을 솔바람길,03코스,충남 홍성군,보통,2.1,1,"마을의 모양이 거북이의 목처럼 생겨 구목(구을목)이라고 하고, 거북모양의 바위가 머리를 안쪽으로 향하고 있어 내현이라고 한다. 아홉가지의 보물을 덮고 있다는 보개산의 아늑함을 배경으로 500년 이상 수령의 느티나무, 철따라 피고지는 야생화, 군데 군데 위용을 드러내는 바위, 고풍스러운 전통가옥이 어우러져 한폭의 동양화 같은 천혜의 자연환경을 갖추고 있다.『동창이 밝았느냐 노고지리 우지진다-권농가』의 저자인 남구만 선생이 사신곳으로 농촌전통테마마을과 국내 최초 농어촌인성학교로 지정 되어 많은 이들의 발길을 옮기고 있다."
내포문화숲길,내포 역사인물길,충남 홍성군,보통,50.5,23,"내포지역 홍성의 주요 인물들의 생가와 발자취를 연결하는 길로써 역사적 인물과 역사, 문화적 자원들을 지선으로 연결함으로써 홍성구간 중심 노선으로 내포문화 역사체험의 길로 이용하고자 한다"
내포문화숲길,17코스 내포 역사인물길,충남 당진시,쉬움,15.2,4,"동학농민혁명은 외세로 부터 억압받고 침탈된 나라를 구하고자 농민들에 의해 일어난 대규모 농민혁명으로 갑오 동학농민의 주인공으로 알려진 전봉준보다 일찍 동학에 입도한 천도교 4대 교주인 삽교읍 하포리의 춘암 박인오에 의해 일어난 내포 동학농민봉기는 당진 승전곡 전투와 인근 예산 관작리 전투, 홍주성 전투, 해미성 전투 등 많은 역사적 기록을 남기고 있다."
서산아라메길,01코스 녹색길,충남 서산시,보통,18,6,"2012 우리마을 녹색길 Best10에 선정될 정도로 수려한 자연경관과 역사문화 유적이 풍부한 곳이다. 유기방가옥, 유상묵가옥, 마애여래삼존상, 보원사지, 개심사, 해미읍성으로 이어지는 길은 우리의 전통가옥과 불교문화의 진수를 체험할 수 있다. 용현계곡을 따라 자연스럽게 이어진 길에서는 상쾌하고 맑은 공기가 도보객의 피로를 풀어준다."
서산아라메길,01-01코스 솔바람길,충남 서산시,보통,9,3,무사안녕을 기원하듯 용현계곡 초입에 다소곳이 서있는 강댕이미륵불을 시작으로 백제의 미소라 불리는 서산마애여래삼존상과 보원사지터 등 백제불교미술의 집성지이다. 전망대에서는 확트인 가야산과 한우목장의 드넓은 초지를 감상할 수 있다. 용현계곡을 따라 걷다보면 여름에는 울창한 숲을 가을에는 단풍의 절경을 볼 수 있다.
서산아라메길,02코스 도보순례길,충남 서산시,보통,11,3.5,"해미순교성지에서 시작되는 도보순례길로 해미읍성, 한티고개등 천주교 신자에 대한 박해와 아픔이 서려 있는 곳이다. 그 길을 따라 걷다보면 당시 고통속에 끌려가면서도 자신의 신앙을 끝까지 지키고자 했던 옛 순교자들의 숭고한 정신을 되새겨 볼 수 있으며, 마음속으로 참회하고 기도하며 걷기에 더없이 좋은 길이다."
서산아라메길,03코스,충남 서산시,보통,18,6,"산과 바다를 모두 볼 수 있는 도보길이다. 황금산 입구에서 시작하여 해변길, 마을 숲길, 농로 등 옛 길을 따라 걷다 보면 어느 덧 삼길포 항에 이르게 된다. 주변에 황금산 코끼리 바위, 대산항, 대산임해공단이 있다."
서산아라메길,03-01코스,충남 서산시,쉬움,3,1,삼길포 관광안내소에서 시작하여 삼길산 정상 봉화대에 올라가면 대산임해공단과 대호방조제가 한 눈에 들어온다. 시원하게 뻗은 대호방조제와 드넓은 바다를 바라다 보면 몸과 마음이 저절로 정화되는 것을 느낄 수 있다. 봄철 삼길산 임도를 따라 걷다보면 길 양옆에 ?꽃이 활짝피어 이 곳을 찾는 도보객들의 마음을 설레게 한다
서산아라메길,04코스 녹색길,충남 서산시,보통,22,7,"팔봉산주차장에서 시작하되는 이 구간의 천혜의 자연환경이자 생태자원인 가로림만의 빼어난 풍광을 직접 보고 느끼며 걸을 수 있는 곳으로 구도포구의 눈부신 갯벌의 아름다움과 민물과 바닷물이 겹쳐 둥범을 이룬 신기한 옻샘을 볼 수 있다. 숲길, 바닷길 등 골고루 분포되어 있어 걷는 즐거움이 배가 되는 아름다운 도보길이다."
서산아라메길,05코스,충남 서산시,보통,7,4,"서산시내에 위치하고 있으며 , 부춘산 외곽을 한바퀴 도는 산책길이다. 대산목 삼거리에서 시작하여 서광사를 지나 부춘산 전망대에 이르면 서산 시내 전경이 한눈에 들어온다. 코스가 완만하여 남녀노소 누구나 부담없이 걸을 수 있다."
칠갑산 솔바람길,01코스 산장로,충남 청양군,쉬움,9,2.5,"칠갑산 솔바람길 제1코스는 30여년 전 국도 36호선의 대치터널 개통 전에 청양, 보령, 홍성과 공주, 대전을 왕래하는 주민과 완행버스가 이용하는 도로였으며 현재 칠갑산 옛길로 불리어짐, 한 많은 어머니와 아련하고 애달픈 처녀의 마음을 표현한 대중가요 ""칠갑산""과 연계한 아늑하고 편안한 길로 조성하였고 남녀노소 누구나 칠갑산 정상까지 올라갈 수 있으며, 야간 산행이 가능하도록 야간 조명등을 설치하였다."
칠갑산 솔바람길,02코스(사찰로 ~ 장곡로),충남 청양군,어려움,10.2,3.5,"칠갑산 솔바람길 제2코스는 장곡주차장에서 장곡사를 지나는 사찰로를 따라 칠갑산 정상을 오른 뒤 삼형제봉을 거치는 장곡로로 내려오는 코스이다. 오르막과 내리막 경사가 다소 어려운 트레킹 코스이다. 천년고찰 장곡사는 국보 2점, 보물4점, 유형문화재 1점 등 많은 문화재를 간직한 유서깊은 사찰이며, 장승공원에는 우리나라 최고의 장승을 보존하고 있는 공원이다."
금강2경 도보여행길,금강2경 도보여행길,충남 서천군,쉬움,15,3.54,"천혜의 풍광을 자랑하는 금강(신성리갈대밭, 조류생태전시관, 철새도래지)을 거슬러 올라가는 생태탐방로. 금강2경 도보여행길은 금강 1경에 해당하는 금강하구둑 철새도래지를 시작으로 금강 2경 신성리갈대밭에서 여정을 마치게 된다. 이 길은 특별한 안내사인은 없지만 누구나 쉽게 목적지까지 찾아갈 수 있다. 이 길은 금강 자전거도로를 따라 걷게 되는데 겨울철이면 이곳을 찾는 철새를 볼 수 있다. 철새는 금강 맞은편에 있는 군산의 구불길을 따라 걸으며 볼 수 도 있지만 철새군무를 좀 더 가까이 보면서 걷기에는 이 길이 제격이다. 서천의 금강일대는 대부분 농경지로 철새들이 먹이를 구하기 쉬워 해질 녁이면 서천일대의 농경지로 이동하는 철새군무를 보면서 여행할 수 있어 겨울철 붉게 물든 석양에 철새가 수를 놓은 듯한 광경을 볼 수 있다. *대중교통을 이용하거나 철새군무를 보려면 신성리갈대밭에서 시작하는 것이 더욱 좋다."
금강 솔바람길,01코스 봉황술래길,충남 금산군,보통,3.2,2,"강과 산이 어우려져 아름다운 풍광을 이루고 있는 금강변에 금강생태과학체험장이 자리하고 있으며, 체험장을 중심으로 봉황산과 소사봉을 잇는 코스로 이루어져 있고, 산책로 주변으로 울창한 소나무 숲과 주변을 두루두루 관망이 가능한 편안한 마음으로 가볍게 산책을 할 수 있는 코스로 이루어져 있음"
논산 계백의 혼이 살아 숨쉬는 솔바람 길,논산 계백의 혼이 살아 숨쉬는 솔바람길,충남 논산시,쉬움,6,2,"수려한 자연경관을 자랑하는 탑정호 주변 전통문화 및 관광자원을 활용하여 아름다운 역사문화를 보고 즐기며 걷는 자연친화적인 시설로 연산면 임리, 고정리, 부적면 충곡리 계백장군 묘역 일원에 조성되는 산책로 및 쉼터이다. ○ 전통문화 : 충곡 서원, 휴정서원, 계백장군 묘역 ○ 생태자원 : 탑정호 수변생태공원 ○ 교통역사 : 휴정서원, 충곡서원등 유교 문화재, 영사암, 마애불상 ○ 체험자원 : 계백장군유적지체험관광, 탑정호 자전거체험 ○ 수락산을 산책하며 바라볼 수 있는 수려한 경관을 자랑하는 논산의 대표 관광지 탑정호 ○ 연꽃등 다양한 생태자원을 관람할 수 있는 생태공원"
소양강둘레길,01코스 하늘길,강원 인제군,보통,9,3,2011년 10월 완공하여 많은 관광객들이 방문하고 있으며 소양강을 끼고 있는 트래킹 코스로 눈을 들면 멀리 인제읍 시가지가 보이는 춘향골을 지나 마을주민들이 적송을 산당목으로 그 밑에 작은 당집을 짓고 가정의 무상안녕을 빌던 성황당 길이 나오며 이후 4.6km 지점(해발 600m)에는 둘레길의 최정상인 사방이 능선으로 천혜의 피난처로 전해오는 칠공주터가 위치하고 있음
사비길,사비길,충남 부여군,보통,13.4,6,사비길은 사비부여의 중심지를 걷는 역사 체험길이다. 부여시외버스터미널에서 출발하면 첫 방문지는 참여시인으로 유명한 신동엽생가다. 작은 마당이 있는 아담한 집에서‘껍데기는 가라’등의 절창이 탄생했다. 부여군청을 지나면 우리나라 최초의 인공연못인 부여 궁남지에 다다른다. 궁남지는 서동왕자와 선화공주의 전설이 전해지는 곳으로 매년 7월에는 연꽃축제가 열려 각양각색의 연꽃을 만날 수 있다. 궁남지에서 가탑리 제방을 따라 한참을 걸으면 커다란 무덤군을 볼 수 있는데 이곳이 능산리고분군이다. 능산리고분을 옆으로 산 능선을 타고 이동하게 되는데 작은 산 하나를 넘어 큰 도로를 건너면 금성산을 넘게 된다. 금성산에 오르면 부여시내의 전경이 한눈에 펼쳐진다. 이 곳을 뒤로 한채 내려가면 부여의 유물을 전시한 부여국립박물관이다. 맞은 편 부여 중심 사찰이 있던 정림사지를 둘러보고 나와 부소산성으로 향한다. 22세기를 위해 보존해야 할 아름다운 숲’으로 선정될 정도로 잘 보존된 부소산성의 호젓한 길이 사비길의 백미다. 숲에는 아직도 당시의 토성들이 존재하고 있어 앞으로 발굴이 요구되는 곳이기도 하다. 이곳 부소산성에서 강변을 따라 걷는 백마강길이 이어져 있다. 부소산성에서 서문매표소로 나와 부여시외버스터미널로 이동하면 사비길의 여정은 끝이 난다.
부여 성흥산 솔바람길,솔바람길,충남 부여군,보통,4.63,2,"부여 남쪽의 임천면에 높이가 고작 268m에 불과한 성흥산(聖興山)이 있다. 그러나 주변에 이렇다 할 높은 산이 없는 금강하류지역이어서 일대에서는 높이로 견줄 곳이 없다. 옛날 백제인들도 그 점을 간파하고 이곳의 전략적 중요성을 감안해 성흥산 정상 부에 산성을 쌓았다. 성흥산성(聖興山城)은 백제 동성왕 23년(501)에 쌓은 것으로, 본 래 이름은 가림성(加林城)이었다. 성곽 둘레가 1.5km로 비록 크지는 않아도 백제 도 성을 지키기 위한 요충지였다. 이 성을 끼고 ‘부여 가림성 솔바람길’이 조성되어 있다. 가림성 솔바람길은 남북으로 길쭉한 형태의 성흥산 능선을 따라 이어진다. 남쪽 덕고 개에서 출발해 솔숲 울창한 능선을 따라 정상부의 가림성까지 간 후 북쪽의 한고개로 내려서는 4.63km의 걷기길이다."
홍주성 천년 여행길,홍주성 천년여행길,충남 홍성군,쉬움,8,3,"이중환의「택리지」에서 “충청도에서 내포가 가장 좋다”라고 하였고, 예부터 내포는 갯벌과 넓은 평야, 나지막한 산으로 이루어져 풍요가 넘치는 곳이며, 바다로 열린 지형은 새로운 문물의 수용 창구역할을 하였다. 충청도의 풍요와 넉넉함을 대변하는 내포의 중심에 천년이 넘는 세월동안 역사의 흔적이 고스란히 남아 있는 홍성(옛 홍주)이 있다. 그 무대였던 홍주성 주변에는 각 시대를 대표하는 문화유산과 스토리가 그대로 묻어 있어 「홍주성 천년 여행길」을 걸으면서 한국사의 축소판을 경험할 수 있다."
서천 생태원길,배롱나무 코스,충남 서천군,보통,1.5,0.5,"- 금강하구, 서해안 등을 한눈에 볼 수 있는 전망 제공하며, 길을 따라 식재한 배롱나무 또한 볼거리를 제공한다 - 금강하굿둑 : 4대강중의 하나인 금강은 충청도와 전라북도를 에두르고 휘돌며 구비마다 충청도의 아름다운 경관을 감싸안고 흐르는 종점 - 조류생태전시관 : 철새탐조방법과 실시간 철새탐조, 철새들의 낙원 서천금강의 아름다운 자연생태를 체험할 수 있는 전시관"
서천 남산길,01코스,충남 서천군,보통,13,3.5,서천읍 남산리와 마서면 봉남리에 걸쳐있는 산으로 이산의 정상부에 둘레 약468m에 이르는 성곽을 두른 것이 서천 남산성이다. 예전부터 마을사람들이 사용하던 산길을 정비하여 남산길을 만들었으며 서천군의 중심지를 한눈에 볼 수 있는 특징이 있다. 또한 읍내 중심에서 출발해 편리하고 그 주변 곳곳을 살펴볼 수 있도록 코스가 넓게 짜여있어 트래킹과 산행이 동시에 가능한 코스이다.
철새나그네길,01코스 붉은 낭만길,충남 서천군,보통,3.77,1,"서천 철새 나그네길의 1코스인 붉은 낭만길은 홍원항에서 시작하여 춘장대 해수욕장을 거쳐 부사호에서 끝이 나는 3.77km의 길로 붉은 등대와 이국적 경치의 낭만, 추억과 다양한 축제가 가득한 길이다. 홍원항에서는 바다의 생동감을, 춘장대 해수욕장에서는 낭만과 젊음을, 부사호에서는 잔잔한 서해바다를 느낄 수 있다. 해안 길로 형성된 붉은 낭만길은 만조때는 바다의 생동감, 간조때는 갯벌의 풍성함을 볼 수 있고 저녁에는 해질녁 노을이 장관을 이루는 팔색조의 걷기 길이다."
